Title,Author,Series
After,Anna Todd,After #1
After Ever Happy,Anna Todd,After #4
After We Collided,Anna Todd,After #2
After We Fell,Anna Todd,After #3
Almost Jamie,,The Jet City Kilt Series #1
Always Only You,,Bergman Brothers #2
Bear in a Bakery,Liz Paffel,Estes Park Shifters #1
Beautiful Disaster,Jamie McQuire,Beautiful #1
Before,Anna Todd,After #5
Below Zero,Ali Hazelwood,The STEMinist Novellas #3
Better Than The Movies,Lynn Painter,
Big Witch Energy,Molly Harper,Starfall Point #2
Black Ties and White Lies,Kat Singleton,
Blissed ,,Misfit Brides #1
Bonds of Cupidity,Raven Kennedy,Heart Hassle #2
Book Lovers,Emily Henry,
Bound,Rosa Lee,Highgate Preparatory Academy #2
Breakaway,Grace Reilly,Beyond the Play Book #2
Breakers,Bea Paige,Academy of Stardom #3
Bright Like Midnight,Julia Wolf,Savage U #2
Bright Winter Lights,,
Burn,Jolie Vines,Dark Island Scots #4
Captured,Rosa Lee,Highgate Preparatory Academy #1
Charm,Tracy Wolfe,Crave #5
Cherish,Tracy Wolfe,Crave #6
Cinder,Marissa Meyer,The Lunar Chronicles #1
Clean Sweep,Evie Mitchell,Larsson Sibling Series
Court,Tracy Wolfe,Crave #4
"Court of Frost and Starlight, A",Sarah J. Maas,ACOTAR #3.5
"Court of Mist and Fury, A",Sarah J. Maas,ACOTAR #2
"Court of Silver Flames, A",Sarah J. Maas,ACOTAR #4
Court of the Vampire Queen,Katee Robert,
"Court of Thorns and Roses, A",Sarah J. Maas,ACOTAR #1
"Court of Wings and Ruin, A",Sarah J. Maas,ACOTAR #3 
Covet,Tracy Wolfe,Crave #3
Cracked Foundation,Bex Dawn,Carnal Expectations #1
Crave,Tracy Wolfe,Crave #1
Cress,Marissa Meyer,The Lunar Chronicles #3
Crimes of Cupidity,Raven Kennedy,Heart Hassle #3
Crush,Tracy Wolfe,Crave #2
Cursed,Kat Cotton,Belford Vampire Brothers #1
Curvy Girls Can't Date Soldiers,Kelsie Stelting,The Curvy Girl Club #8
Curvy Girls Don't Dance,,The Curvy Girls Club #7
Curvy Girls Don't Date Bad Boys,,The Curvy Girls Club #4
Curvy Girls Don't Date Best Friends,,The Curvy Girls Club #5
Curvy Girls Don't Date Billionaires,,The Curvy Girl Club #2
Curvy Girls Don't Date Bullies,,The Curvy Girls Club #6
Curvy Girls Don't Date Cowboys,,The Curvy Girls Club #3
